"id","sex","smoking","alcohol","people_main","political","personal_main"
"693976","male","not specified","not specified","not specified","not specified","not specified"
"171320","female","not specified","not specified","not specified","not specified","not specified"
"21591","male","compromisable","compromisable","not specified","Liberal","not specified"
"4360869","female","not specified","not specified","not specified","not specified","not specified"
"7382581","female","not specified","not specified","not specified","not specified","not specified"
"8136038","female","not specified","not specified","not specified","not specified","not specified"
"6687232","female","not specified","not specified","not specified","not specified","not specified"
"7685086","female","not specified","not specified","not specified","not specified","not specified"
"6753894","male","not specified","not specified","not specified","not specified","not specified"
"9419186","male","not specified","not specified","not specified","not specified","not specified"
"1210222","female","not specified","not specified","not specified","not specified","not specified"
"3788540","female","not specified","not specified","not specified","not specified","not specified"
"5450255","female","not specified","not specified","not specified","not specified","not specified"
"1859825","male","not specified","not specified","not specified","not specified","not specified"
"3779132","male","not specified","not specified","not specified","not specified","not specified"
"9273589","male","not specified","not specified","not specified","not specified","not specified"
"9935409","female","not specified","not specified","not specified","not specified","not specified"
"3617109","male","not specified","not specified","not specified","not specified","not specified"
"299493","male","not specified","not specified","not specified","not specified","not specified"
"1693295","female","not specified","not specified","not specified","not specified","not specified"
"1548907","female","not specified","not specified","not specified","not specified","not specified"
"503873","male","not specified","not specified","not specified","not specified","not specified"
"5131715","female","not specified","not specified","not specified","not specified","not specified"
"7972322","male","not specified","not specified","not specified","not specified","not specified"
"5701656","male","not specified","not specified","not specified","not specified","not specified"
"9797927","female","not specified","not specified","not specified","not specified","not specified"
"6285281","female","not specified","not specified","not specified","not specified","not specified"
"3359902","female","not specified","not specified","not specified","not specified","not specified"
"5742541","male","negative","negative","kindness and honesty","Socialist","not specified"
"4521413","female","not specified","not specified","not specified","not specified","not specified"
"5239756","male","not specified","not specified","not specified","not specified","not specified"
"5219897","male","not specified","not specified","not specified","not specified","not specified"
"8685971","male","not specified","not specified","not specified","not specified","not specified"
"9258545","female","not specified","not specified","not specified","Moderate","not specified"
"8046512","male","not specified","not specified","not specified","Moderate","not specified"
"6316162","female","not specified","not specified","not specified","not specified","not specified"
"5977410","male","not specified","not specified","not specified","not specified","not specified"
"9168416","female","not specified","not specified","not specified","not specified","not specified"
"6180910","female","not specified","not specified","not specified","not specified","not specified"
"7673531","male","not specified","not specified","not specified","not specified","not specified"
"1999567","male","not specified","not specified","not specified","not specified","not specified"
"3005782","female","not specified","not specified","not specified","not specified","not specified"
"6176090","female","not specified","not specified","not specified","not specified","not specified"
"3684551","male","not specified","not specified","not specified","not specified","not specified"
"4030131","male","not specified","not specified","not specified","not specified","not specified"
"2706078","male","not specified","not specified","not specified","not specified","not specified"
"869485","female","not specified","not specified","not specified","not specified","not specified"
"3565198","female","not specified","not specified","not specified","not specified","not specified"
"7776867","male","not specified","not specified","not specified","not specified","not specified"
"5222018","female","not specified","not specified","not specified","not specified","not specified"
"7707884","female","not specified","not specified","not specified","not specified","not specified"
"5810342","female","not specified","not specified","not specified","not specified","not specified"
"3873179","female","not specified","not specified","not specified","not specified","not specified"
"5570991","male","not specified","not specified","not specified","not specified","not specified"
"6424582","female","not specified","not specified","not specified","Moderate","not specified"
"4843994","male","not specified","not specified","not specified","not specified","not specified"
"7490304","male","not specified","not specified","not specified","not specified","not specified"
"9687313","female","not specified","not specified","not specified","not specified","not specified"
"4638539","male","compromisable","compromisable","kindness and honesty","Monarchist","not specified"
"7542009","female","not specified","not specified","not specified","not specified","not specified"
"4507903","male","not specified","not specified","not specified","not specified","not specified"
"307943","male","not specified","not specified","not specified","not specified","not specified"
"2865906","female","not specified","not specified","not specified","not specified","not specified"
"6230750","female","not specified","not specified","not specified","Moderate","not specified"
"2579711","male","not specified","not specified","not specified","not specified","not specified"
"1216809","male","not specified","not specified","not specified","not specified","not specified"
"8223476","female","not specified","not specified","not specified","not specified","not specified"
"2020173","male","not specified","not specified","not specified","not specified","not specified"
"8518062","female","not specified","not specified","not specified","Moderate","not specified"
"5103772","male","not specified","not specified","not specified","not specified","not specified"
"1802998","female","not specified","not specified","not specified","not specified","not specified"
"1424186","male","not specified","not specified","not specified","Apathetic","not specified"
"8729578","male","not specified","not specified","not specified","Moderate","not specified"
"8332183","male","not specified","not specified","not specified","not specified","not specified"
"480723","female","not specified","not specified","not specified","not specified","not specified"
"4369918","female","not specified","not specified","not specified","not specified","not specified"
"7829462","male","not specified","not specified","not specified","not specified","not specified"
"8228894","male","not specified","not specified","not specified","not specified","not specified"
"4384305","female","not specified","not specified","not specified","not specified","not specified"
"3882371","male","not specified","not specified","not specified","not specified","not specified"
