"timestamp","likes","photo"
"25/10/2010 12:19:47","1","http://cs9699.vk.me/u3065924/-7/y_f3c887f1.jpg"
"25/10/2010 12:36:36","1","http://cs9699.vk.me/u3065924/-7/y_2e5e0312.jpg"
"25/10/2010 12:41:29","2","http://cs9699.vk.me/u3065924/-7/y_8edeffd3.jpg"
